vessel_id,vessel_name,length_m,draft_m,container_count,eta_hours,service_hours,priority,demurrage_cost_per_hour,cargo_value_usd
V01,Container Ship A,240,11.5,1200,1,4,1,1000,5000000
V02,Container Ship B,310,14.5,2800,2,6,3,2500,12000000
V03,Container Ship C,380,16.5,4500,3,8,2,3500,20000000
V04,Container Ship D,220,10.5,900,4,3,1,800,3000000
V05,Container Ship E,280,13.0,2100,5,5,2,1800,8000000
V06,Container Ship F,330,15.0,3400,6,7,3,2800,15000000
V07,Container Ship G,390,17.0,4800,7,9,2,4000,22000000
V08,Container Ship H,200,9.5,800,8,3,1,750,2500000
V09,Container Ship I,260,12.5,1800,9,4,2,1500,7000000
V10,Container Ship J,340,15.5,3600,10,6,3,3000,16000000
V11,Container Ship K,370,16.8,4200,11,8,1,3800,19000000
V12,Container Ship L,210,10.0,950,12,3,1,850,3200000
V13,Container Ship M,290,13.5,2300,13,5,2,2000,9000000
V14,Container Ship N,320,14.8,3100,14,6,3,2600,14000000
V15,Container Ship O,360,16.2,4100,15,7,2,3400,18000000
